date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
03/31/2025,"AthThulatha, 31 Rabi' Awwal, 2025",5:13 am,5:23 am,6:37 am,12:59 pm,1:15 pm,4:33 pm,6:15 pm,7:21 pm,7:24 pm,8:45 pm,8:45 pm,12:00 pm,1:00 pm
04/01/2025,"AlArbia'a, 01 Rabi' Thani, 2025",5:11 am,5:21 am,6:35 am,12:59 pm,1:15 pm,4:33 pm,6:15 pm,7:22 pm,7:25 pm,8:47 pm,8:46 pm,12:00 pm,1:00 pm
04/02/2025,"AlKhamis, 02 Rabi' Thani, 2025",5:09 am,5:19 am,6:33 am,12:58 pm,1:15 pm,4:34 pm,6:15 pm,7:24 pm,7:27 pm,8:48 pm,8:48 pm,12:00 pm,1:00 pm
04/03/2025,"AlJumaa, 03 Rabi' Thani, 2025",5:06 am,5:16 am,6:31 am,12:58 pm,1:15 pm,4:34 pm,6:15 pm,7:25 pm,7:28 pm,8:50 pm,8:49 pm,12:00 pm,1:00 pm
04/04/2025,"AsSabt, 04 Rabi' Thani, 2025",5:04 am,5:14 am,6:29 am,12:58 pm,1:15 pm,4:35 pm,6:15 pm,7:26 pm,7:29 pm,8:51 pm,8:51 pm,12:00 pm,1:00 pm
04/05/2025,"AlAhad, 05 Rabi' Thani, 2025",5:02 am,5:12 am,6:27 am,12:58 pm,1:15 pm,4:36 pm,6:15 pm,7:28 pm,7:31 pm,8:53 pm,8:53 pm,12:00 pm,1:00 pm
04/06/2025,"AlEthnien, 06 Rabi' Thani, 2025",5:00 am,5:10 am,6:26 am,12:57 pm,1:15 pm,4:36 pm,6:15 pm,7:29 pm,7:32 pm,8:55 pm,8:54 pm,12:00 pm,1:00 pm
04/07/2025,"AthThulatha, 07 Rabi' Thani, 2025",4:58 am,5:08 am,6:24 am,12:57 pm,1:15 pm,4:37 pm,6:15 pm,7:30 pm,7:33 pm,8:56 pm,8:56 pm,12:00 pm,1:00 pm
04/08/2025,"AlArbia'a, 08 Rabi' Thani, 2025",4:56 am,5:06 am,6:22 am,12:57 pm,1:15 pm,4:37 pm,6:15 pm,7:31 pm,7:34 pm,8:58 pm,8:57 pm,12:00 pm,1:00 pm
04/09/2025,"AlKhamis, 09 Rabi' Thani, 2025",4:54 am,5:04 am,6:20 am,12:56 pm,1:15 pm,4:38 pm,6:15 pm,7:33 pm,7:36 pm,8:59 pm,8:59 pm,12:00 pm,1:00 pm
04/10/2025,"AlJumaa, 10 Rabi' Thani, 2025",4:51 am,5:15 am,6:18 am,12:56 pm,1:15 pm,4:38 pm,6:15 pm,7:34 pm,7:37 pm,9:01 pm,9:01 pm,12:00 pm,1:00 pm
